,Name,Team,Nation_Ranking,League_Ranking,Age,MP,Goals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,Market_Value
0,Brendan Aaronson,Leeds United,3,5,22,20,1,1.53,0.04,23.2,74.9,13.3,0.9,38.1,0.11,1.75,3.62,0.28,0.51,1.69,1.69,0.28,26.7,0.4,4.86,22.2,1.0
1,Yunis Abdelhamid,Reims,4,1,35,22,0,0.86,0.0,38.5,81.5,10.9,3.77,53.9,0.05,2.91,1.14,0.18,1.59,4.5,2.23,2.91,40.0,0.09,6.64,64.0,1.0
2,Himad Abdelli,Angers,5,1,23,14,0,1.05,0.0,40.0,80.8,18.5,4.42,74.5,0.0,3.95,2.67,0.0,1.4,3.84,1.51,0.93,48.5,0.47,8.14,47.1,1.0
3,Salis Abdul Samed,Lens,2,1,22,20,1,0.6,0.08,59.5,91.6,29.6,3.35,77.9,0.0,6.0,1.6,0.0,0.8,2.6,1.3,0.8,61.0,0.15,6.6,50.0,1.0
4,Laurent Abergel,Lorient,5,1,30,15,0,0.31,0.0,37.9,87.3,17.9,2.64,66.7,0.08,3.88,1.24,0.08,2.02,4.96,1.4,1.55,41.0,0.0,6.51,44.4,1.0
7,Matthis Abline,Rennes,5,1,19,11,1,5.0,0.17,5.83,46.7,2.5,0.83,100.0,0.0,0.83,5.83,1.67,0.83,2.5,0.83,0.83,22.5,1.67,1.67,20.0,1.0
9,Zakaria Aboukhlal,Toulouse,4,1,22,22,5,2.75,0.11,17.6,69.7,11.7,0.24,28.6,0.24,0.78,2.34,0.24,0.72,1.98,0.54,0.66,28.6,1.14,4.43,24.1,1.0
10,Tammy Abraham,Roma,5,2,25,22,6,2.67,0.13,13.7,68.6,8.13,0.91,69.6,0.17,0.63,3.07,0.51,0.4,0.91,0.51,0.45,16.8,0.63,1.87,51.7,1.0
11,Francesco Acerbi,Inter,5,2,35,14,0,0.49,0.0,51.7,87.7,18.9,6.02,74.0,0.08,3.09,0.98,0.0,0.57,2.28,0.57,3.33,36.7,0.08,4.96,63.0,1.0
13,Marcos Acu a,Sevilla,5,4,31,16,2,1.47,0.13,46.5,73.9,22.1,6.42,48.3,0.09,2.39,3.03,0.18,1.74,4.77,1.01,1.28,40.4,0.28,7.52,56.5,1.0
14,Che Adams,Southampton,4,5,26,21,4,2.06,0.11,14.6,65.8,9.26,1.26,71.0,0.11,0.97,2.63,0.29,0.69,1.09,0.51,1.03,18.0,0.46,2.29,37.1,1.0
15,Tyler Adams,Leeds United,3,5,23,19,0,0.11,0.0,47.1,82.0,25.7,2.84,60.0,0.0,4.37,1.84,0.05,2.0,5.53,1.84,1.16,35.2,0.0,8.68,58.6,1.0
17,Tosin Adarabioyo,Fulham,5,5,25,14,1,0.33,0.25,38.9,80.1,9.59,3.77,48.4,0.0,2.38,0.41,0.0,0.41,2.13,0.82,5.33,28.9,0.0,4.67,83.9,1.0
19,Karim Adeyemi,Dortmund,5,3,21,15,2,2.24,0.11,24.2,73.6,14.9,0.71,40.0,0.12,1.41,3.65,0.59,0.71,1.88,1.18,0.12,31.3,0.94,4.94,77.8,1.0
20,Amine Adli,Leverkusen,5,3,22,13,1,1.94,0.07,26.3,79.4,16.1,1.25,60.0,0.28,2.22,2.64,0.42,1.11,1.94,2.08,0.56,27.8,0.69,3.75,40.7,1.0
22,Michel Aebischer,Bologna,3,2,26,18,1,1.16,0.1,32.6,81.9,18.0,2.33,60.6,0.0,2.21,2.21,0.23,0.12,0.81,1.28,0.7,27.7,0.23,5.0,35.7,1.0
23,Felix Afena-Gyan,Cremonese,2,2,20,12,0,2.5,0.0,17.8,78.9,12.3,0.75,60.0,0.0,0.75,1.75,0.0,0.5,1.0,0.25,0.75,22.3,0.5,4.25,33.3,1.0
24,Emmanuel Agbadou,Reims,3,1,25,19,0,0.79,0.0,43.4,85.4,13.1,6.8,69.1,0.11,3.2,1.18,0.17,1.63,3.76,1.12,4.33,43.5,0.11,8.2,57.9,1.0
27, lvaro Aguado,Valladolid,5,4,26,19,0,0.71,0.0,44.2,83.0,16.7,8.57,73.0,0.16,5.32,3.17,0.32,0.48,1.59,0.87,0.56,38.8,0.08,5.71,48.0,1.0
28,Kevin Agudelo,Spezia,4,2,24,21,0,1.13,0.0,19.6,70.6,11.1,1.19,54.3,0.0,2.44,1.88,0.13,1.38,3.38,1.75,0.13,23.9,0.69,5.69,31.0,1.0
29,Nayef Aguerd,West Ham,4,5,26,6,0,0.88,0.0,30.9,78.2,10.0,4.04,50.0,0.0,1.93,0.18,0.0,1.58,3.33,1.23,4.39,27.7,0.0,5.26,62.5,1.0
30,Ruben Aguilar,Monaco,5,1,29,13,0,0.29,0.0,47.9,81.7,25.0,2.79,54.3,0.0,4.26,1.18,0.29,0.74,3.82,0.44,2.79,42.9,0.15,5.29,35.7,1.0
32,Naouirou Ahamada,Stuttgart,5,3,20,17,2,1.03,0.13,29.0,84.9,14.4,1.35,52.5,0.13,2.45,2.45,0.45,0.71,1.61,1.03,0.45,26.3,0.39,5.68,30.4,1.0
34,Jean-Eudes Aholou,Strasbourg,3,1,28,19,1,0.97,0.11,26.1,71.9,12.7,2.26,55.3,0.0,2.15,1.4,0.11,1.4,3.87,1.29,0.75,35.3,0.75,5.27,51.9,1.0
35,Joseph Aidoo,Celta Vigo,2,4,27,20,2,0.45,0.22,43.4,85.4,11.6,4.85,65.1,0.0,2.3,0.3,0.0,1.05,2.5,0.9,4.2,38.2,0.0,6.5,48.6,1.0
36,Ola Aina,Torino,3,2,26,12,1,0.93,0.14,41.5,74.4,21.7,5.2,53.4,0.13,3.07,2.93,0.4,1.33,2.8,1.2,2.67,36.7,0.53,6.27,60.0,1.0
37,Rayan A t Nouri,Wolves,5,5,21,17,1,0.99,0.1,39.3,81.2,21.9,1.98,66.7,0.0,2.38,2.18,0.0,1.58,3.37,0.2,2.57,32.3,0.99,5.25,48.1,1.0
38,Emanuel Aiwum,Cremonese,3,2,22,15,0,0.26,0.0,36.4,77.0,16.8,2.63,42.3,0.0,3.16,0.88,0.0,2.28,5.44,1.32,3.25,29.0,0.0,7.02,73.1,1.0
39,Kristoffer Ajer,Brentford,2,5,24,9,0,0.12,0.0,30.5,75.1,15.4,2.71,57.5,0.0,2.35,0.47,0.0,0.94,2.12,0.71,2.59,25.2,0.0,4.24,57.7,1.0
40,Ludovic Ajorque,Strasbourg,5,1,28,13,1,2.56,0.0,20.7,69.8,12.0,1.28,68.8,0.0,1.16,2.56,0.23,0.47,0.81,0.35,0.81,26.2,0.12,2.44,60.2,1.0
42,Manuel Akanji,Manchester City,3,5,27,15,0,0.77,0.0,76.2,94.2,33.4,4.76,74.7,0.07,5.17,1.26,0.0,1.05,2.31,1.33,1.19,63.6,0.0,5.38,37.5,1.0
43,Nathan Ak ,Manchester City,5,5,27,15,0,0.31,0.0,84.2,91.5,39.7,3.75,67.6,0.0,7.58,1.17,0.16,0.55,2.27,1.02,1.64,63.8,0.16,5.0,56.4,1.0
44,Sergio Akieme,Almer a,5,4,25,21,0,1.05,0.0,34.0,77.3,17.5,2.14,40.5,0.0,2.0,1.57,0.1,0.76,1.9,1.0,1.48,27.2,0.52,5.14,45.8,1.0
45,Maghnes Akliouche,Monaco,5,1,20,6,0,0.36,0.0,28.2,74.5,17.9,0.71,40.0,0.0,2.5,1.79,0.0,1.07,2.86,0.36,0.71,38.2,0.36,6.43,40.0,1.0
46,Paul Akouokou,Betis,3,4,25,6,0,0.77,0.0,36.2,93.1,15.4,5.38,93.3,0.0,3.08,0.38,0.0,1.92,5.38,0.0,0.77,20.0,0.0,6.54,14.3,1.0
47,Jean-Daniel Akpa-Akpro,Empoli,3,2,30,12,0,1.04,0.0,24.8,77.9,13.0,1.04,63.6,0.0,1.94,1.64,0.0,2.39,4.03,3.43,1.94,24.6,0.6,4.78,60.0,1.0
48,Kevin Akpoguma,Hoffenheim,3,3,27,16,0,0.53,0.0,37.6,78.7,12.7,3.77,48.9,0.0,3.77,0.7,0.0,1.93,4.3,2.28,2.37,31.8,0.26,6.05,56.0,1.0
49,David Alaba,Real Madrid,3,4,30,17,1,0.59,0.11,50.2,88.3,28.6,2.7,57.7,0.2,3.55,1.58,0.26,0.53,1.38,0.79,1.64,38.0,0.07,4.67,45.5,1.0
51,Lucas Alario,Eint Frankfurt,5,3,30,12,1,3.21,0.11,14.6,69.5,7.86,1.43,100.0,0.0,1.07,2.5,0.71,0.71,1.07,0.0,3.57,15.0,0.36,2.86,40.7,1.0
52,Jordi Alba,Barcelona,5,4,33,14,1,0.87,0.11,82.6,85.2,45.2,5.83,64.5,0.29,9.51,3.98,0.39,1.26,2.14,0.78,1.36,62.5,0.39,6.8,37.5,1.0
53,Luis Alberto,Lazio,5,2,30,19,4,1.45,0.18,53.3,80.0,29.2,4.36,48.1,0.26,6.07,3.25,0.51,0.94,2.22,1.2,0.09,40.7,0.43,6.07,30.0,1.0
54,Ra l Albiol,Villarreal,5,4,37,17,0,0.06,0.0,54.7,88.6,12.8,9.11,74.4,0.0,4.02,0.59,0.0,0.65,1.66,0.83,4.56,44.4,0.0,4.32,64.4,1.0
55,Marc Albrighton,Leicester City,5,5,33,6,1,0.77,0.5,34.6,60.4,18.8,4.62,35.3,0.0,2.31,3.08,0.0,0.38,1.92,2.31,1.92,31.9,0.0,5.38,50.0,1.0
56,Thiago Alc ntara,Liverpool,5,5,31,14,0,0.7,0.0,65.8,85.9,30.7,9.45,79.1,0.0,7.42,3.05,0.16,1.8,4.61,1.09,0.94,49.5,0.0,8.13,36.8,1.0
58,Rub n Alcaraz,C diz,5,4,31,16,1,1.52,0.06,32.5,78.6,13.5,4.64,58.4,0.0,3.39,1.88,0.18,1.7,3.3,0.98,1.52,27.3,0.09,6.79,53.1,1.0
60,Iv n Alejo,C diz,5,4,28,16,0,1.48,0.0,13.3,56.0,8.4,0.99,30.8,0.12,0.37,2.72,0.12,1.98,3.21,1.48,0.86,21.9,0.25,4.57,58.3,1.0
