,Nation_Ranking,League_Ranking,Age,MP,TotGoals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,MV
0,5,1,24,19,13,4.42,0.15,33.6,79.9,20.7,1.04,53.1,0.12,2.33,4.11,0.49,0.12,0.49,0.18,0.18,49.6,3.25,1.72,54.5,180.0
1,2,5,22,20,25,3.85,0.3,11.7,73.7,6.76,0.27,83.3,0.16,0.49,2.03,0.38,0.05,0.22,0.38,0.55,12.6,0.93,1.1,52.1,175.0
2,5,3,19,19,4,2.07,0.1,44.1,80.9,19.6,5.32,69.4,0.21,5.8,3.88,0.53,1.54,4.2,2.02,1.06,45.0,0.9,7.71,56.5,150.0
3,5,4,22,20,7,2.51,0.14,27.7,77.6,19.0,0.97,51.4,0.15,0.77,4.51,0.56,0.87,1.64,0.87,0.05,41.1,3.64,3.13,0.0,150.0
4,5,5,22,18,7,2.41,0.25,44.1,80.2,26.2,2.76,48.5,0.34,2.07,4.74,0.78,0.6,1.29,1.03,0.43,42.8,0.52,5.17,45.2,120.0
5,5,5,21,21,7,2.45,0.12,30.4,77.1,18.4,2.25,50.0,0.4,1.15,4.8,0.8,0.75,1.75,1.05,0.8,33.5,2.4,3.75,20.7,120.0
6,5,3,19,19,10,2.65,0.25,33.6,82.4,20.3,1.06,57.1,0.46,2.38,4.7,0.99,0.99,2.32,1.06,0.2,40.3,1.32,5.56,52.9,110.0
7,5,4,20,20,5,0.94,0.31,57.7,87.7,27.1,7.66,84.5,0.0,7.08,3.92,0.47,1.11,2.57,1.4,0.41,53.3,0.58,6.26,33.3,110.0
8,4,5,31,20,3,2.64,0.06,42.8,71.9,19.1,5.96,57.6,0.62,4.44,6.52,1.12,0.51,1.29,1.01,0.39,41.1,0.67,3.71,44.4,100.0
9,5,5,29,23,17,3.55,0.19,16.3,69.4,7.59,2.41,61.8,0.04,2.37,3.68,0.39,0.26,0.35,0.75,0.48,21.1,0.57,2.15,46.5,100.0
10,5,5,24,22,1,1.14,0.04,52.8,87.8,24.4,6.55,73.8,0.05,7.05,3.0,0.14,0.95,3.91,1.14,1.55,40.1,0.05,9.41,60.5,100.0
11,5,5,26,20,1,1.61,0.03,88.4,91.3,34.9,10.5,85.3,0.21,9.22,3.42,0.47,1.45,3.42,1.45,1.14,63.7,0.05,9.74,67.1,100.0
12,4,4,24,20,6,2.41,0.15,49.5,87.9,29.0,3.82,73.0,0.12,3.82,3.24,0.59,0.65,1.41,0.94,0.53,41.2,0.24,4.82,77.3,100.0
13,5,5,23,16,4,2.97,0.21,24.7,79.0,15.3,1.09,63.6,0.0,1.72,2.81,0.0,0.78,1.56,1.25,0.16,23.4,1.41,2.19,31.3,90.0
14,5,4,18,20,1,0.92,0.08,40.5,86.3,26.2,2.13,71.4,0.14,3.76,3.26,0.28,1.28,2.62,1.21,0.71,38.1,0.35,4.4,63.2,90.0
15,5,2,23,21,8,3.55,0.13,20.5,72.5,9.23,2.54,67.2,0.3,2.54,4.14,0.47,0.06,0.59,0.12,0.24,26.8,2.72,3.2,52.6,90.0
16,5,4,22,18,4,3.79,0.06,31.7,86.5,22.0,1.21,80.0,0.38,1.97,5.15,0.83,0.45,1.21,0.91,0.23,35.3,2.5,2.2,47.6,90.0
17,3,2,24,17,16,4.42,0.23,9.17,71.1,5.45,0.38,66.7,0.19,0.71,2.37,0.38,0.06,0.32,0.26,0.96,15.6,0.96,1.54,49.3,85.0
18,1,5,30,20,7,3.15,0.11,20.5,75.2,13.1,0.76,57.7,0.2,1.17,3.76,0.41,0.41,0.76,0.56,0.15,26.2,2.03,2.28,20.0,85.0
19,5,4,23,16,0,1.44,0.0,65.5,92.9,33.1,3.98,85.5,0.17,5.51,2.54,0.51,1.53,4.66,0.85,2.12,53.2,0.17,5.0,71.1,85.0
20,5,5,24,20,1,1.31,0.05,64.9,73.1,30.4,9.94,48.2,0.06,7.0,4.0,0.31,1.06,2.81,0.75,1.13,52.4,0.31,7.56,61.1,80.0
21,4,4,23,10,0,0.63,0.0,58.1,88.7,20.0,6.21,67.8,0.11,5.47,0.95,0.32,0.95,2.21,0.42,1.89,47.2,0.11,3.68,62.5,80.0
22,5,4,20,20,0,1.18,0.0,57.0,90.8,29.1,3.82,79.6,0.1,6.76,4.51,0.29,2.06,3.82,1.27,1.27,51.4,0.39,6.18,56.3,80.0
23,5,4,23,14,4,3.61,0.15,23.8,75.0,13.6,1.53,37.9,0.42,1.94,4.03,0.69,0.97,1.81,0.14,0.28,29.3,0.28,2.5,46.7,80.0
24,5,5,28,21,5,2.05,0.09,38.1,74.1,20.6,4.29,54.2,0.19,3.33,4.95,0.57,1.38,3.14,1.0,1.29,34.2,0.33,6.29,23.8,80.0
25,5,5,27,15,2,1.64,0.11,40.1,83.6,25.3,1.98,57.5,0.26,1.29,4.57,0.78,0.69,1.55,1.12,0.34,42.9,2.76,4.83,61.5,80.0
26,5,4,25,18,2,0.9,0.15,68.7,89.7,38.2,4.69,81.0,0.07,7.66,3.93,0.34,0.97,3.24,0.34,0.83,58.3,0.41,6.9,52.9,80.0
27,5,1,31,19,12,2.05,0.29,59.8,80.1,33.6,4.04,56.3,0.6,7.95,6.2,0.9,0.84,1.51,0.42,0.06,75.4,0.72,3.55,33.3,80.0
